slot,value,ci,ei
6778801,0.04388241650594382,119.8933303006771,119.8933303006771
6778802,0.08895914301776965,100.11231413310632,100.0
6778803,0.08042176561185663,100.36070841865572,100.36070841865572
6778804,0.05312504345969201,110.33211402584986,110.51292316482831
6778805,0.023811949000054736,103.66229863852992,103.66229863852992
6778806,0.05424226820468905,100.82248155249064,99.13442040439517
6778807,0.029188624403333543,101.38678497174973,101.38678497174973
6778808,0.07133354207085574,100.1358295173089,100.1358295173089
6778809,0.2553333274806388,99.52899474040416,99.52899474040416
6778810,0.04122143840161674,100.0,100.0
6778813,0.08400265854879511,100.28034262018126,100.28034262018126
6778814,0.08391232948413982,100.9359058885481,100.9359058885481
6778815,0.014692123048007598,100.86082937373224,100.16792692017941
6778816,0.038228627066515225,106.93666300835174,130.30067544673142
6778817,0.029611483357610515,101.3919654573728,101.3919654573728
6778818,0.022051393809324093,100.0,100.0
6778819,0.04916589971157257,101.60606672166472,101.60606672166472
6778820,0.07068658708903817,100.0,100.0
6778821,0.034033330975670614,100.21003415397132,99.03224718712273
6778822,0.030950034799855284,109.16837007656086,109.16837007656086
6778823,0.04033833440609413,149.58544197657758,149.58544197657758
6778824,0.0238892571238571,100.41521832944736,98.7338731489115
6778825,0.103717401272302,100.4684537638197,102.69261232576461
6778826,0.05070956386098446,101.64016069268813,101.64016069268813
6778827,0.186220471999545,101.04316526570452,101.44071946887638
6778828,0.06283869856415156,103.85655753595088,145.0982831326535
6778829,0.02634396219289648,115.10048188992998,152.43633629089334
6778830,0.08580230882988635,104.51452172984648,121.4381598398955
6778831,0.024648720056642134,99.22070754307137,100.0
6778833,0.06139143093104571,100.39511976419885,100.39511976419885
6778835,0.03239780147366598,134.39816675367595,134.39816675367595
6778838,0.033376636863086395,108.86247049232469,120.4141200671915
6778840,0.046426234670437695,105.09991096538191,105.09991096538191
6778841,0.019194487239103258,101.70885727446124,101.70885727446124
6778842,0.027741204471264016,100.0,100.0
6778843,0.01883775311677808,82.88755908620587,101.45879817569995
6778844,0.03564085054766066,102.66861243990049,104.6167487526976
6778845,0.06239635315275531,100.41863140500406,100.41863140500406
6778846,0.046347173757809786,101.33289679752242,101.33289679752242
6778847,0.06915923105379379,103.82396077033658,109.55981221135085
6778849,0.10863157275676612,100.26258431760802,100.06876274094869
6778850,0.039182105036941424,100.0,100.0
6778851,0.11061925987896522,100.20950453817106,100.20950453817106
6778852,0.13215431384559445,100.0,100.0
6778853,0.04671986173785005,100.43979481998863,101.56016848342885
6778854,0.12334848949938924,98.95788184681206,98.95788184681206
6778855,0.14269684686243816,100.86060247712601,100.86060247712601
6778857,0.03438354990191297,101.09407000354238,99.9165912646271
6778859,0.04408298267058411,100.29577059871981,99.63225848705561
6778865,0.34209545828782767,101.8470160325519,107.8554922727417
6778866,0.3111537154473441,99.03311696351129,99.03311696351129
6778868,0.07127060476605836,100.1108287260837,104.1538524047969
6778869,0.07381551142755173,101.06221499624782,101.06221499624782
6778870,0.06951445189949988,100.0,100.0
6778871,0.030109813795588983,121.18913930797768,121.18913930797768
6778872,0.08340798138763425,100.119673586863,100.0
6778873,0.06321368561304815,102.13017780446006,102.13017780446006
6778874,0.05965570790268751,100.77142131121444,100.77142131121444
6778877,0.15821346693595115,100.13290847604321,100.0
6778878,0.055817259476653704,102.25141187052674,102.25141187052674
6778879,0.10747429810626283,100.98809126815826,101.36512949916717
6778880,0.097398715839862,100.95613793921692,100.95613793921692
6778881,0.03985094408671702,100.57799354839891,99.64974812479144
6778882,0.204700939013869,100.45133075206434,100.45133075206434
6778883,0.02283844507339907,113.20993910492551,140.50557116367335
6778884,0.045287457933928826,109.90104596992897,123.11535217507661
6778885,0.08421834815670404,102.26478946415425,102.26478946415425
6778886,0.13012661723034996,100.25327389662564,100.0918926170153
6778887,0.46315625157625556,101.21959121231131,101.21959121231131
6778889,0.3368330228960571,100.55525034303712,101.08951719757427
6778891,0.07270783370125748,100.43531666048943,100.43531666048943
6778892,0.04564322831165631,101.58650715226393,101.24615851424095
6778893,0.07117477730089311,101.0866774069554,101.08667882721525
6778894,0.244014170142152,100.50575339666364,100.50575339666364
6778897,0.18610578601293984,100.0,100.0
6778900,0.0864653739105209,100.0,100.0
6778901,1.2067042292724008,100.04076529972814,100.04076529972814
